X,polarity,center,normalized,aspect,tense,number,Y,Y_POS,Y_number,Y_animacy,Y_case,Full context,Created,Title,Sphere,Medium
рати,pos,осилят,осилить,perf,futr,plur,Москву,NOUN,sing,inan,accs,А вить наши новугороцки рати осилят Москву,1882,Д. Л. Мордовцев. Господин Великий Новгород (1882),художественная,
"Лещов, [человек]",pos,осилил,осилить,perf,past,sing,припадок,NOUN,sing,inan,accs,"В подушках, опершись о них спиной, Лещов только что осилил страшный припадок удушья и кашля",1882,П. Д. Боборыкин. Китай-город (1882),художественная,книга
мужик,pos,осилил,осилить,perf,past,sing,сторонников,NOUN,plur,anim,accs,Самодержавный мужик» осилил сторонников московской руки,1882,Д. Л. Мордовцев. Господин Великий Новгород (1882),художественная,
мы,pos,осилим,осилить,perf,futr,plur,"его, переход",NPRO,sing,inan,accs,"Завтра нам предстоит большой переход до деревни Радоницы, и если мы не будем плутать, то, может быть, и осилим его",1883,В. В. Гурьев. Письма священника с похода 1877-1878 гг. (1883),публицистика | нехудожественная,книга
,neg,осилил,осилить,perf,past,sing,,,,,,"Мужичонко едва держался на ногах и, конечно, не осилил бы с бабой, если бы его, в свою очередь, не тянули к кабаку два здоровенных и тоже сильно подвыпивших мужика",1883,А. И. Эртель. Записки Степняка (1883),художественная | публицистика,книга
буря,pos,осиливает,осиливать,impf,pres,sing,,,,,,"Иногда буря осиливает, и тогда и дико ревущую мглу и воющие вихри -- весь бешено зыблющийся, безграничный, бессмысленный простор крутит и вертит она в одном исполинском хороводе",1883,А. И. Эртель. Записки Степняка (1883),художественная | публицистика,книга
враг,pos,осилил,осилить,perf,past,sing,,,,,,"Долго он боролся, перемогался, но враг осилил",1883,В. В. Гурьев. Письма священника с похода 1877-1878 гг. (1883),публицистика | нехудожественная,книга
,pos,осилил,осилить,perf,past,sing,,,,,,"Я поскорее открыл голландскую печку и вылил в нее подальше из своей тарелки, а Михайло кое-как осилил налитую порцию",1884,А. А. Черкасов. Из записок сибирского охотника (Часть 2) (1884),публицистика | нехудожественная,книга
[он],neg,осилил,осилить,perf,past,sing,,,,,,"Надо полагать, что он с того берега хотел перескочить, вероятно, понадеялся на свою прыть -- дескать, не широко, ну да, видно, не осилил, сердешный",1884,"А. А. Черкасов. На Алтае (1884) // На Алтае: Записки городского головы, 2004",публицистика | нехудожественная,журнал
девки,pos,осилят,осилить,perf,futr,plur,,,,,,"И кажется, попадись сюда хоть какой молодец, а девки осилят и все-таки выкупают",1884,"А. А. Черкасов. На Алтае (1884) // На Алтае: Записки городского головы, 2004",публицистика | нехудожественная,журнал
"он, [человек]",neg,осилит,осилить,perf,futr,sing,такого,ADJF,,,accs,Он не осилит такого,1885,Е. А. Салиас. Кудесник (1885),художественная,книга
,neg,осилишь,осилить,perf,futr,sing,дело,NOUN,sing,inan,accs,"Одни уверяли, что «дело плевое», а другой уверял, что «вовеки не осилишь",1885,Е. А. Салиас. Ширь и мах (1885),художественная,книга
сон,pos,осиливает,осиливать,impf,pres,sing,его,NPRO,sing,anim,accs,"Егорий чувствовал, что начинает уже коченеть, что силы его покидают, что сердце отказывается работать и зловещий сон осиливает и гнетет его",1885,"И. А. Салов. Иван Огородников (1885) // «Русский вестник», 1879",художественная,журнал
условия,pos,осилили,осилить,perf,past,plur,талант,NOUN,sing,inan,accs,"Да и, наконец, если бы неблагоприятные внешние условия осилили его талант, так он просто погиб бы и, во всяком случае, не мог бы стать так дорог и близок читателю",1886,Н. К. Михайловский. Г. И. Успенский как писатель и человек (1886),публицистика | нехудожественная,
добрая половина ребят,pos,осиливали,осиливать,impf,past,plur,"его, урок",NPRO,sing,inan,accs,"Вопрос, по-видимому, не мудреный, но добрая половина ребят именно этого-то и не знали, и не выучивали урока, несмотря на старание, или же осиливали его долбежкой, утрачивая смысл",1886,Н. П. Гиляров-Платонов. Из пережитого. Том 1 (1886),публицистика | нехудожественная,электронный текст
условия,pos,осилили бы,осилить,perf,past,plur,способность,NOUN,sing,inan,accs,"Несчастные условия литературы, в которых началась его деятельность и в которых он как бы воспитался, в связи с «обстоятельствами личного характера» имели, конечно, очень большое значение: но сами по себе они едва ли осилили бы из ряду вон выходящую изобразительную способность Успенского и соответственные позывы к творчеству",1886,Н. К. Михайловский. Г. И. Успенский как писатель и человек (1886),публицистика | нехудожественная,
змей,pos,осилил,осилить,perf,past,sing,,,,,,"Долго боролся онъ съ нимъ въ облакахъ, наконецъ, змѣй осилилъ, и орелъ вмѣстѣ съ змѣемъ рухнулись на землю",1886,"Е. Л. Марков. Европейский Восток // «Вестник Европы», №№ 3-4, 1886",публицистика | нехудожественная,журнал
воитель,pos,осилил,осилить,perf,past,sing,твердыни,NOUN,plur,inan,accs,"Это была первая пядь греческой земли, на которой сталъ своею грозною ногою грозный азіатскій воитель, и откуда онъ осилилъ византійскія твердыни",1886,"Е. Л. Марков. Европейский Восток // «Вестник Европы», №№ 3-4, 1886",публицистика | нехудожественная,журнал
никто,neg,осилил,осилить,perf,past,sing,меня,NPRO,sing,anim,accs,"Никто еще меня не осилилъ и не переспорилъ, и не уговорилъ",1886,Е. А. Салиас. Свадебный бунт (1886),художественная,книга
толпа,pos,осилила,осилить,perf,past,sing,,,,,,Наконец толпа осилила,1886,В. Г. Короленко. Федор Бесприютный (1886),художественная,книга
человек,pos,осилил,осилить,perf,past,sing,меня,NPRO,sing,anim,accs,"А повстрѣчай я человѣка, который меня заговорилъ бы, меня осилилъ, пояснилъ бы мнѣ, что я балуюсь, озорничаю",1886,Е. А. Салиас. Свадебный бунт (1886),художественная,книга
,neg,осилю,осилить,perf,futr,sing,,,,,,"Сам он говаривал: «Чего разве не вижу, ну -- того не осилю!» Он был хороший зверовщик и кузнец по профессии",1887,А. А. Черкасов. Култума (1883-1887),художественная,книга
Михайло,pos,осилил,осилить,perf,past,sing,порцию,NOUN,sing,inan,accs,"Я поскорее открыл голландскую печку и вылил в нее подальше из своей тарелки, а Михайло кое-как «осилил» налитую порцию",1887,А. А. Черкасов. Бальджа (1883-1887),художественная,книга
"он, [человек]",pos,осилил,осилить,perf,past,sing,французскую партию,NOUN,sing,inan,accs,"Екатерина I отправила его своим послом в Варшаву, а Анна Ивановна -- в Берлин, потом в Швецию, где он осилил французскую партию, враждебную России, за что получил чин тайного советника и повышение трактамента до десяти тысяч рублей",1887,Е. П. Карнович. Пагуба (1887),художественная,книга
собака,pos,осилила,осилить,perf,past,sing,зверя,NOUN,sing,anim,,"Только тогда лапы ее ослабли, и она сунулась у самых моих ног, все еще стараясь снова схватиться с собакой, но та осилила зверя и тут же придушила",1887,А. А. Черкасов. Бальджа (1883-1887),художественная,книга
натура,neg,осилила,осилить,perf,past,sing,раздражение,NOUN,sing,inan,accs,"Я довел эти галлюцинации до крайних пределов и не знаю, чем бы все это кончилось, если бы не осилила это больное и болезненное нервное раздражение моя и тогда замечательно крепкая и здоровая натура",1888,С. Н. Терпигорев. Марфинькино счастье (1888),художественная,книга
,pos,осилишь,осилить,perf,futr,sing,,,,,,"Лихого человека нечего бояться, потому — все свой брат, как-нибудь сладишь с ним, осилишь; ну, а леший мигом тебя обойдет: аукнуть не поспеешь",1888,В. П. Авенариус. Юношеские годы Пушкина (1888),художественная,электронный текст
они,pos,осилили,осилить,perf,past,plur,вас,NPRO,plur,anim,accs,Они вас обоих осилили,1888,В. П. Авенариус. Юношеские годы Пушкина (1888),художественная,электронный текст
ты,pos,осилишь,осилить,perf,futr,sing,,,,,,"Нѣтъ, голубчикъ, я не изъ трусовъ, а вотъ коли я тебѣ по душѣ, такъ брось ножъ, да и побратуемся честнымъ манеромъ; вотъ если ты осилишь, то я тебѣ и отдамъ что у меня есть",1888,А. А. Черкасов. Из записок сибирского охотника (1888),публицистика | нехудожественная,книга
он,pos,осиливал,осиливать,impf,past,sing,волны,NOUN,plur,inan,accs,"Неподвижен как утес, нахлобучив шапку, осиливал он взглядом далекие, слегка белевшие по гребешкам, под дыханием «севера», морские волны и глядел на шняки",1888,К. К. Случевский. Моленье ветру (1888),художественная,книга
орден,pos,осилил,осилить,perf,past,sing,,,,,,"Когда, въ одно изъ возставій города противъ ордена, въ 1319 году, орденъ осилилъ, то, помимо болѣе непосредственной расправы, за убійство 18 человѣкъ, городъ былъ вынужденъ: отслужить во всѣхъ монастыряхъ между Двиной и Нарвой и въ 9 ганзейскихъ городахъ по 1.000 литургій и 1.000 панихидъ, основать въ 3 церквахъ по 3 алтаря съ ежедневною при нихъ службой, а въ Ивановъ день, во всѣхъ церквахъ Риги, ставить по 18 гробовъ, со всѣми принадлежностями, какъ бы въ нихъ дѣйствительно лежали покойники, съ покровами, молитвословіемъ и звономъ колоколовъ",1888,К. К. Случевский. Балтийская сторона (1888),публицистика | нехудожественная,книга
Москва,pos,осилит,осилить,perf,futr,sing,Новгород,NOUN,sing,inan,nomn,"Бояре новгородские, со своей стороны, тоже теснили бояр двинских, и вот мало-помалу начинает тянуть этих последних к недавно окрепнувшей Москве, и Москва очень хорошо поняла, чем и как осилит она Новгород, и протянула этим местным боярам руку",1888,К. К. Случевский. По Северу России (1888),публицистика | нехудожественная,книга
[ты],neg,осилишь,осилить,perf,futr,sing,,,,,,"Тогда другой-то, который держал меня за горло, придавил коленом грудь и говорит: «Руби топором ногу, если не осилишь",1889,И. Д. Путилин. 40 лет среди грабителей и убийц (1889),художественная,книга
,neg,осилишь,осилить,perf,futr,sing,что,CONJ,,,,"Что не осилишь, так уж не осилишь",1889,"А. И. Эртель. Гарденины, их дворня, приверженцы и враги (1889)",художественная,книга
"[он], [я]",neg,осилил,осилить,perf,past,sing,,,,,,"Ну, и не осилил",1889,Н. Н. Златовратский. Деревенский король Лир (1889),художественная,книга
[я],pos,осиливаю,осиливать,impf,pres,sing,статью,NOUN,sing,inan,accs,"Глаза так слабы, что едва осиливаю передовую статью в Московских Ведомостях, а политические известия уже оставил давно",1889,А. А. Фет. Мои воспоминания / Часть II (1862-1889),публицистика,книга
"Устя, [человек]",neg,осилила,осилить,perf,past,sing,чувство,NOUN,sing,inan,accs,"Устя хотѣла сказать его, но не осилила въ себѣ какое-то чувство, которое не позволяло ей сказать это слово",1890,Е. А. Салиас. Атаман Устя (1890),художественная,книга
татары,pos,осилят,осилить,perf,futr,plur,,,,,,"Раньше ли, позже ли, а татары осилятъ, потому ихъ видимо-невидимо",1890,"К. К. Абаза. Казаки: донцы, кубанцы, уральцы, терцы (1890)",публицистика | нехудожественная,книга
сердце,pos,осилило,осилить,perf,past,sing,,,,,,"Такъ и вышло: молчало сердце, потомъ стыдливо заговорило, потомъ гнѣвно, а вскорѣ совсѣмъ осилило; и дѣвичій разумъ сдался и смолкъ въ свой чередъ",1890,Е. А. Салиас. Атаман Устя (1890),художественная,книга
я,neg,осилю,осилить,,,,,,,,,"Сразу-то я что-то не осилю, заявилъ Малина, выпуча глаза",1890,Е. А. Салиас. Атаман Устя (1890),художественная,книга
[мы],neg,осилим,осилить,perf,futr,plur,,,,,,Не осилимъ,1890,Е. А. Салиас. Атаман Устя (1890),художественная,книга
они,pos,осилили,осилить,perf,past,plur,скопище,NOUN,sing,inan,accs,"Съ превеликимъ трудомъ они осилили четырехтысячное скопище, на трупахъ котораго палъ самъ Капланъ, его пять сыновей и лучшіе наѣздники Крыма",1890,"К. К. Абаза. Казаки: донцы, кубанцы, уральцы, терцы (1890)",публицистика | нехудожественная,книга
"Сибирный Малина, [человек]",neg,осилил,осилить,perf,past,sing,раны,NOUN,sing,inan,gent,"Эсаулъ Орликъ тоже не кажетъ носу изъ своей хаты и томится... «князь», или дядька Ефремычъ, ходитъ суровый и ни на что не отвѣчаетъ, только рукой машетъ, какъ бы говоря: «Ну, васъ! не надо васъ!» Сибирный Малина на что крѣпокъ, а свалился все-таки съ ногъ отъ прострѣла, не осилилъ раны... онъ только одно повторяетъ тѣмъ, кто къ нему навѣдается",1890,Е. А. Салиас. Атаман Устя (1890),художественная,книга
maman и Спиридон Иванович,pos,осиливают,осиливать,impf,pres,plur,газету,NOUN,sing,inan,accs,"Она в газетах читает только последний лист, потому что ее интересуют покойники и объявления о распродажах, а maman и Спиридон Иванович осиливают всю газету от A до Z; затем каждый день за обедом пережевывают передовую статью",1891,Л. И. Веселитская (Микулич). Мимочка (1891),художественная,книга
мягкость и теплота чувств,pos,осилили,осилить,perf,past,plur,"их, черты",NPRO,plur,inan,,"С годами, под бременем утрат и испытаний, эти черты сгладились -- мягкость и теплота чувств осилили их -- хотя строгий и повелительный вид бабушки молодого Михаила Юрьевича доставил ей имя Марфы Посадницы среди молодежи, товарищей его по юнкерской школе",1891,П. А. Висковатов. Жизнь и творчество М. Ю. Лермонтова (1891),публицистика | нехудожественная,книга
кто,pos,осилит,осилить,perf,futr,sing,кого,NPRO,,,,"И везде Васька Теркин встретит ее, и кто кого осилит -- старуха надвое сказала",1892,П. Д. Боборыкин. Василий Теркин (1892),художественная,книга
[вы],pos,осилите,осилить,perf,futr,plur,,,,,,"Если осилите, то вам и книги в руки; но, повторяю, что вы не должны думать, что я берусь приготовить вас в 4-й класс",1893,Д. В. Григорович. Литературные воспоминания (1893),публицистика | художественная,книга
она,pos,осилила,осилить,perf,past,sing,равнодушие,NOUN,sing,inan,accs,"Она осилила равнодушие невежд, сопротивление фанатиков, вражду и клевету осмысленным и энергетическим выполнением своей гуманной миссии» и проч., все в таком же духе",1893,В. П. Желиховская. Радда-Бай: правда о Блаватской (1893),публицистика | нехудожественная,книга
[мы],pos,осилим,осилить,perf,futr,plur,пана,NOUN,sing,anim,accs,"Всяк борись за свое, а и друг другу помогай, тогда общими усилиями, быть может, и осилим пана",1893,М. П. Старицкий. Первые коршуны (1893),художественная,книга
,pos,осилил,осилить,perf,past,sing,,,,,,"Мед давался пить, но после оковитой сразу осилил",1893,М. П. Старицкий. Первые коршуны (1893),художественная,книга
[ты],pos,осилишь,осилить,perf,futr,sing,жить,INFN,,,,"Вторая заповедь, стихи 27, 28, 29, 30, 31, 32: не соблазняться в мыслях на женщин и не покидать той жены, с которой, сошелся  (если осилишь жить с ней по-братски, еще того лучше",1894,Л. Н. Толстой. Письма (1894),бытовая | нехудожественная,книга
Сергей,pos,осилит,осилить,perf,futr,sing,,,,,,"В противность распространенному убеждению, что постоянное счастье портит человека, Сергей убедился из опыта, что лично его успех только бодрил, сообщал новые силы, давая право рассчитывать, что, осиливши раз, осиливши другой, осилит и третий",1894,В. В. Верещагин. Литератор (1894),художественная,книга
[мы],pos,осилим,осилить,perf,futr,plur,тележку,NOUN,sing,inan,accs,Тележку-то без тебя осилим,1894,Н. Д. Телешов. Самоходы (1894),художественная,книга
кто,pos,осилит,осилить,perf,futr,sing,кого,NPRO,,,accs,"Вперебой, значит, кто кого осилит",1895,К. М. Станюкович. Вокруг света на Коршуне (1895),художественная,книга
я,pos,осиливаю,осиливать,impf,pres,sing,письмо,NOUN,sing,inan,accs,"Я, признаться, так едва осиливаю длинное письмо",1895,К. М. Станюкович. Вокруг света на Коршуне (1895),художественная,книга
[ты],pos,осилишь,осилить,perf,futr,sing,,,,,,"Коли не хочешь, чтобы народ нас завтра разорвал на клочья, так осилишь",1895,А. В. Амфитеатров. Княжна (1889-1895),художественная,книга
"Липа, [человек]",neg,осилила,осилить,perf,past,sing,десяти страниц,NUMR,,,gent,А Липа не осилила и десяти страниц -- вернула мне книгу,1895,А. В. Амфитеатров. Нелли Раинцева (из сборника «Бабы и дамы») (1895),художественная,книга
"сторона, [люди]",pos,осилит,осилить,perf,futr,sing,,,,,,"Особенно, вот, в ярмарочное время, было так же, как будто война была на реке, как вроде бы этакие кулачные, которая сторона осилит; одна сторона от семинарии, другая от рыбных рядов; которая осилит, та и погонит",1895,В. В. Верещагин. Федор Викторович Немиров. Мастеровой (Иллюстрированные автобиографии нескольких незамечательных русских людей) (1895),художественная,книга
солдаты,pos,осиливали,осиливать,impf,past,plur,,,,,,"Иволгин помог солдатам донести до ворот Тайной канцелярии захваченную ими ношу, сильно пытавшуюся отбиваться и кричать сквозь полотенце, но каждый раз Иволгин и солдаты осиливали и поверх полотенца еще повязали шейный платок",1895,М. Н. Волконский. Брат герцога (1895),художественная,книга
джигит,neg,осилишь,осилить,perf,futr,sing,их,NPRO,plur,anim,accs,"Не осилишь их, молодой джигит, только сложишь свою головушку буйную",1896,Н. Н. Алексеев. Татарский отпрыск (1896),художественная,книга
чары,neg,осилили,осилить,perf,past,plur,его,NPRO,sing,anim,accs,Не осилили его чары,1896,Н. Н. Алексеев. Татарский отпрыск (1896),художественная,книга
тоска,pos,осиливает,осиливать,impf,pres,sing,злобу,NOUN,sing,inan,accs,"Может быть, даже..., даже они причиной служат смерти царицы», -- мелькает у Иоанна мысль, и злоба охватывает его сердце, но пока еще слишком сильная тоска, она осиливает злобу, не дает развиться неясному подозрению, и Иоанн, в отчаянье, пытается вырваться из державших его рук, чтобы броситься на гроб любимой жены и рыдать над ее трупом",1896,Н. Н. Алексеев. Татарский отпрыск (1896),художественная,книга
"[он], [я]",neg,осилил,осилить,perf,past,sing,,,,,,"Не осилил, на воздух выпалил, -- объяснил мне Семенов, -- оно и лучше",1896,"П. Ф. Якубович. В мире отверженных. Том 1 // «Русское богатство», 1896",художественная,журнал
джигит,pos,осилит,осилить,perf,futr,sing,меня,NPRO,sing,anim,accs,"Я решил, что отдам её только за того джигита, который перехитрит и осилит меня самого",1896,В. П. Желиховская. Джин-Падишах (1896),художественная,электронный текст
мы,pos,осилили,осилить,perf,past,plur,фамилию,NOUN,sing,inan,accs,"К моему великому удивлению, этот способ оказался наиболее доступным Ярмоле, так что к концу второго месяца мы уже почти осилили фамилию",1896,А. И. Куприн. Олеся (1896),художественная,книга
[люди],neg,осилили,осилить,perf,past,plur,тебя,NPRO,sing,anim,accs,"Не осилили Тебя сильные, Так дорезала Осень черная",1896,Д. С. Мережковский. Пушкин (1896),публицистика | нехудожественная,книга
ты,neg,осилишь,осилить,perf,futr,sing,меня,NPRO,sing,anim,accs,"По мне, так хоть бы и еще, а только тебя жаль: чего даром силенку твою надрывать: все равно меня не осилишь, -- задорно ответа Бахметов",1896,Н. Н. Алексеев. Татарский отпрыск (1896),художественная,книга
презрение,pos,осилило,осилить,perf,past,sing,расчеты,NOUN,plur,inan,accs,Презрѣніе впервые осилило въ старомъ вельможѣ всѣ разсчеты,1896,В. П. Желиховская. Над пучиной (1878-1896),художественная,книга
молодость и здоровье,pos,осилят,осилить,perf,futr,plur,страдание,NOUN,sing,inan,accs,"Молодость и природное здоровье скоро осилят это временное страдание», -- думал он и возлагал все надежды в этом случае на возвращение генерала и их поездку за границу",1896,В. П. Желиховская. Подруги (1878-1896),художественная,электронный текст
я,pos,осилил,осилить,perf,past,sing,,,,,,"Пусть так, но я осилил в честном бою",1897,А. И. Красницкий. Красное Солнышко (1897),художественная,книга
князь,pos,осилил,осилить,perf,past,sing,волю,NOUN,sing,inan,accs,"Князь осилил гордую волю полоцкой княжны, она покорилась",1897,А. И. Красницкий. Красное Солнышко (1897),художественная,книга
я,neg,осилю,осилить,perf,futr,sing,их,NPRO,plur,inan,accs,"Спорили, что я их не осилю, а я самым спокойным образом уложил их в желудок и ни малейшей тяжести не почувствовал",1897,А. А. Нильский. Закулисная хроника (1893-1897),публицистика | нехудожественная,книга
ты,pos,осилил,осилить,perf,past,sing,,,,,,"Ты не победил, а осилил",1897,А. И. Красницкий. Красное Солнышко (1897),художественная,книга
беспечность,neg,осилила,осилить,perf,past,sing,,,,,,Как бы не осилила русская беспечность,1898,"Н. Г. Гарин-Михайловский. По Корее, Маньчжурии и Ляодунскому полуострову (1898)",публицистика | нехудожественная,книга
Солнце,pos,осилило,осилить,perf,past,sing,туман,NOUN,sing,inan,accs,"Было девять часов утра, Солнце осилило, наконец, туман и ярким, теплым светом обдало открывшуюся предо мной картину",1898,"В. Д. Черевков. По китайскому побережью // «Исторический вестник», 1898",публицистика | нехудожественная,журнал
она,pos,осилила,осилить,perf,past,sing,себя,NPRO,sing,anim,accs,"Она вздрогнула, но осилила себя",1898,Н. Э. Гейнце. Аракчеев (1898),художественная,книга
искусство инженеров,pos,осилило,осилить,perf,past,sing,неприступность,NOUN,sing,inan,accs,"Но ужасъ вашъ только отъ одного вашего воображенія, отъ обстоящей васъ со всѣхъ сторонъ картины обрывовъ, скалъ, пропастей; коляска же ваша безопасно и спокойно, хотя уже далеко не прытко продолжаетъ описывать свои надоѣдливо крутящіеся около одного и того же мѣста длинные зигзаги, которыми искусство инженеровъ обмануло и осилило мнимую неприступность горъ",1898,"Е. Л. Марков. Славянская Спарта // «Вестник Европы», №№ 7-10, 1898",публицистика | нехудожественная,журнал
,neg,осилишь,осилить,perf,futr,sing,"его, черта",NOUN,sing,anim,accs,"Да не осилишь его, старого черта",1898,Н. Э. Гейнце. Людоедка (1898),художественная,книга
страдания,pos,осилили,осилить,perf,past,plur,Мессонье,,sing,anim,accs,"Одно время вскоре за этим Мессонье совсем было осилили страдания болезни камня; «je sens que je m'en vais», -- говорил он друзьям, но эти опасения не оправдались, камень был удачно разбит, извлечен, и художник воротил почти всю свою прежнюю энергию",1898,В. В. Верещагин. Листки из записной книжки (1898),публицистика | нехудожественная,книга
,pos,осилишь,осилить,perf,futr,sing,,,,,,"И с народом, значит, так... ходи да ходи, пока не осилишь",1899,А. П. Чехов. Новая дача (1899),художественная,книга
[вы],neg,осилите,осилить,perf,futr,plur,,,,,,"Слишком уж много, не осилите",1899,Л. Н. Толстой. Воскресение (1899),художественная,книга
противная (сторона),pos,осиливала,осиливать,impf,past,sing,ее,NPRO,sing,anim,accs,"Когда колебалась в доказательствах одна сторона и осиливала ее противная более вескими данными, а сладу и мировой все-таки не было, отыскивали, приводили на межи «знахаря», вполне доверяясь его свидетельству и решению",1899,C. В. Максимов. Крылатые слова (1899),учебно-научная | нехудожественная,книга
ты,pos,осиль,осилить,perf,,sing,себя,NPRO,sing,anim,accs,"А ты осиль себя, заставь верить",1900,Н. Н. Алексеев. Заморский выходец (1900),художественная,книга
Натура,pos,осилила,осилить,perf,past,sing,болезнь,NOUN,sing,inan,accs,"Кречет-Буйтуров долго находился между жизнью и смертью, наконец крепкая натура осилила болезнь",1900,Н. Н. Алексеев. Заморский выходец (1900),художественная,книга
Борис Годунов,neg,осилит,осилить,perf,futr,sing,врагов,NOUN,plur,anim,accs,"Неужели он, Борис Годунов, не осилит врагов",1900,Н. Н. Алексеев. Заморский выходец (1900),художественная,книга
Волнение,pos,осилило,осилить,perf,past,sing,ее,NPRO,sing,anim,accs,"Но затем волнение опять осилило ее, голос стал прерываться, она несколько раз приостанавливалась, принималась плакать",1900,В. Г. Авсеенко. Петербургские очерки (1900),художественная,книга
[он],pos,осилит,осилить,perf,futr,sing,,,,,,"А осилит, потом что",1900,Н. Н. Алексеев. Заморский выходец (1900),художественная,книга
огонь,pos,осиливает,осиливать,impf,pres,sing,дым,NOUN,sing,inan,accs,"Дым клубами взлетал вверх и расстилался по воздуху широкой полосой; ветер был на манчжурский город и раздувал пламя, которое сперва взвивалось сквозь дым острыми продолговатыми языками; казалось, оно боролось с дымом, не дававшим огню свободы, но скоро уже стало видно, что огонь осиливает дым и вырывается на волю ярким, жгучим пламенем",1901,В. В. Корсаков. Пекинские события. Личные воспоминания участника об осаде в Пекине. Май-август 1900 года (1901),публицистика | нехудожественная,книга
мы,neg,осилим,осилить,perf,futr,plur,Саратова,NOUN,sing,inan,gent,"Смотри, государь стрельцов нашлет -- и не осилим Саратова",1901,А. Е. Зарин. Кровавый пир (1901),художественная,книга
[ты],pos,осилишь,осилить,perf,futr,sing,книги,NOUN,plur,inan,accs,"Рекомендовать особенно не буду, но если двѣ-три книги осилишь, много понимать будешь: попу не лишне все понимать",1902,"Сергей Елеонский (С. Н. Миловский). Неизреченный свет // «Русское богатство», №5, №7, 1902",художественная,журнал
движение,pos,осилило,осилить,perf,past,sing,задачу,NOUN,sing,inan,accs,"Роскоши -- когда движение вполне осилило уже задачу всесторонних обличении и всесторонней агитации, так что кроме центрального органа становятся необходимы многочисленные местные",1902,В. И. Ленин. Что делать? Наболевшие вопросы нашего движения (1902),публицистика | нехудожественная,книга
вы,neg,осилили,осилить,perf,past,plur,не поддаться,INFN,,,,Он и говорит Петру: так вы и не осилили на один час не поддаться унынию,1902,"Л. Н. Толстой. Соединение и перевод четырех Евангелий (1902) // «Толстовский Листок - Запрещенный Толстой», №6, 1995",церковно-богословская | нехудожественная,журнал
вы,neg,осилите,осилить,perf,futr,plur,подняться,INFN,,,,"И он сказал им: как это вы не осилите на один час подняться духом так, как я",1902,"Л. Н. Толстой. Соединение и перевод четырех Евангелий (1902) // «Толстовский Листок - Запрещенный Толстой», №6, 1995",церковно-богословская | нехудожественная,журнал
кто,pos,осилит,осилить,perf,futr,sing,кого,NPRO,,,gent,"Сегодня видел Марченко, который мне говорил, что полицмейстер Михайловского театра Адамович очень недоволен уходом Лаппы и говорил, что еще посмотрим, кто кого осилит -- Теляковский или мы",1902,В. А. Теляковский. Дневники Директора Императорских театров (1902),бытовая | нехудожественная,книга
[они],pos,осилят,осилить,perf,futr,plur,нас,NPRO,plur,anim,gent,А если нас осилят,1903,Р. Л. Антропов. Герцогиня и «конюх» (1903),художественная,книга
жена,neg,осилила,осилить,perf,past,sing,недостатка,NOUN,sing,inan,gent,Первая жена царя Алексея не осилила этого недостатка фамилии,1904,В. О. Ключевский. Русская история. Полный курс лекций. Лекции 54-65 (1904),учебно-научная | нехудожественная,книга
Скопин и Делагарди,pos,осилили,осилить,perf,past,plur,,,,,,"Скопин и Делагарди напали на Тверь, но были сначала отбиты, наконец осилили (13 июля 1609 г.) и прогнали тушинцев из города",1904,В. В. Сиповский. Родная старина. Отечественная история в рассказах и картинах (С XVI до XVII ст.) (1904),учебно-научная | нехудожественная,книга
воины,pos,осилили,осилить,perf,past,plur,,,,,,"Разбойники бились отчаянно; царский воевода пал в сражении, но все же воины осилили; полумертвый Хлопка был схвачен; разбойников, думавших бежать снова на украину, ловили и вешали",1904,В. В. Сиповский. Родная старина. Отечественная история в рассказах и картинах (С XVI до XVII ст.) (1904),учебно-научная | нехудожественная,книга
Милославские,pos,осилили,осилить,perf,past,plur,Нарышкиных,NOUN,plur,anim,accs,"Милославские осилили Нарышкиных и самого сильного человека их стороны, Матвеева, не замедлили убрать подальше на север, в Пустозерск",1904,В. О. Ключевский. Русская история. Полный курс лекций. Лекции 54-65 (1904),учебно-научная | нехудожественная,книга
[мы],pos,осилим,осилить,perf,futr,plur,Москву,NOUN,sing,inan,accs,"Ну, да вот, когда Москву осилим, так и Тверь приукрасим",1904,Н. Н. Алексеев. Брат на брата (1904),художественная,книга
не всякий,pos,осилит,осилить,perf,futr,sing,поднять,INFN,,,,"Это сборник 45 громадных томов, каждый из которых не всякий осилит поднять",1904,В. О. Ключевский. Русская история. Полный курс лекций. Лекции 76-86 (1904),учебно-научная | нехудожественная,книга
