username,date,polarity,semi_neg,Y,Meaning,tweet,center,tense
tinyhugemistake,2023-04-20 22:02:43,neg,,пятнадцать минут,2.1,пришлось самой тратить 650 рублей потому что так разболелась нога что я 15 мин до метро с чемоданом стекла я бы не осилила,осилила,past
lady_uskglass,2023-04-20 21:57:55,neg,,,,"@kopircka791 я так полагаю там товарищи из баффи, зачарованных и овс, первые два мимо меня прошли, а овс я честно пыталась но не осилила",осилила,past
_OneLostDay,2023-04-20 20:47:23,pos,,уборку,2.1,"@ke9 я вчера была молодчиной, я впервые после болезни осилила полноценную уборку и даже приготовила оладьи для маринки, которая замесила для них тесто.",осилила,past
bardiiie,2023-04-20 20:31:52,neg,,смотреть,3,нет но я бы пересмотрела прохождение куплинова он там во всем прав да может что-то пропускает ну а кто хороший как говорится да молодец но так и не осилила смотреть ремейк 4 резидента хз,осилила,past
katzetuoi,2023-04-20 20:28:13,pos,,,,"@asdasdasdasder @svetlyi у меня 12 про макс, прямо очень мне нравится. но следующий в лучшем случае в следующем году возьму. у нас тут можно в рассрочку, если с оператором контракт. а так бы вряд ли с моими кото тратами когда-либо осилила)",осилила,past
AKhodoyan,2023-04-20 20:24:31,pos,,десять штук,3,"наткнулась, значит, на пост, как учить языки. пишет автор, которая 10 штук осилила. в начале долгая вводная, которая закончилась советом купить иностранный учебник, а все непонятное смотреть на разборах в ютуб 👌  🤡",осилила,past
dayanakkkdd,2023-04-20 19:04:33,pos,еле еле,мангу,3,"@ssssdamn оооо ясно ясно, я кста тоже еле еле осилила мангу так и не дочитала😭",осилила,past
__fuckingirl__,2023-04-20 18:45:07,pos,лишь,первую книгу,3,"@yeolfdambo соглашусь. проще читать то, что легко идёт. но даже там должен же быть хоть что-то, кроме ""ничего"" а 50ос я осилила лишь первую книгу. мне просто надоело, что гг постоянно металась сама не знаю чего хочет",осилила,past
CaptainHydraF,2023-04-20 17:21:23,pos,еле,шаурму,4,старею... еле осилила стандартную шаурму полностью.,осилила,past
Sergej76509508,2023-04-20 15:36:15,neg,,значения,3,"@sashakots лысая zалупа коц так и не осилила значения слова ""бавовна"" по сей день. журналисты - которых орки заслужили))",осилила,past
SquareKreis,2023-04-20 15:18:52,neg,,бездну,3,"я пробовала играть ей в фул мс, но бездну она не осилила. чуть поколдовала с критами и получилось. го это казик. а из приличных катализаторрв у меня только сигна скары. в теории, я использую нахиду на поле и только с обычными атаками🤔  https://t.co/a2xlpmyysd",осилила,past
Zla_kobieeta,2023-04-20 13:45:38,neg,,общагу,3,@leafeosha онет чмошница не осилила общагу 7й класс с темой парадокс толерантности 🥺🥺 мб в школу тогда вернёшься а не будешь свой хуеприемник открывать где не просили и где у тебя 0 знаний?,осилила,past
lymoHrRJFelkbR,2023-04-20 08:07:33,pos,,две песни,3,"@vavf7rek6mdosqq @joky5164 @clodiacampan от этот твой музыкант — молодчина, видимо, профи. то, что ты перечислил мяу тотжить осилить не могла. скучно, неинтересно, ни мысли, ни текста, ни музыки. от слова совсем. у битлз — две песни осилила в раннем детстве.",осилила,past
onewingtchariot,2023-04-20 06:14:49,pos,,первую,3,"@myashaaa сюжет крутой, но супер душный открытый мир, осилила первую, но вторая прям с самого начала выбесила.",осилила,past
Myashaaa,2023-04-20 04:41:50,neg,,первую часть,3,"не осилила даже первую часть. красиво, но скучно",осилила,past
Old_urn,2023-04-19 21:47:25,pos,,,,"@hecticby пиздец! я реально не впечатлительный и холоднокровный человек, но я не стала читать больше строчки с каждого скрина! не будь в таком дерьме упомянуты ребята, я бы спокойно осилила, но видеть такое рядом с их именами - ахуеть не выхуеть!!!",осилила,past
171090R,2023-04-19 21:12:50,pos,еле,все песни,3,"я еле осилила все песни на esc2023,было тяжело🙈",осилила,past
multi_vip,2023-04-19 20:52:06,neg,,,,@osoawj я не осилила  но выкладывала арт свой с ибрагимом любимого козла рисовала с любовью,осилила,past
SquareKreis,2023-04-19 20:11:35,neg,,даже половину,3,"я даже половину не осилила, хотя не ела с утра",осилила,past
tutututuGIRLS,2023-04-19 19:26:16,pos,ток,первый,3,@tarinavold я первый осилила ток на 2/3💀💀💀,осилила,past
ppoonnpol,2023-04-19 19:16:38,neg,,бота,3,"почему-то если видишь ватника, то с большой долей вероятности он тупой. вот как эта, которая не осилила бота в телеграмме. смотри, у людей с головой всё работает  https://t.co/aykxmu1tgo",осилила,past
menywddig,2023-04-19 18:57:39,neg,,лимонова,3,@peter_iwanowicz @simagarry я лимонова не осилила.,осилила,past
soverrrsh,2023-04-19 18:10:58,pos,,троих,2.1,я сделал!! #бинго моих #oc 😼 пока что только троих осилила  https://t.co/9xcev8u4zx,осилила,past
tannyshanny,2023-04-19 18:03:12,pos,,1/4,,@tomnaya_satana ...и осилила 1/4?))  красотень :3,осилила,past
kashkadavr,2023-04-19 17:36:14,pos,,,,"@tokuriart 🤭тепер, здається, так ще 4 рази, кожен з яких буде важчий, щоб отримати там якусь істину кінцівку.  я осилила лиш ще 2, здається, далі якась пемзда по складності для мене.",осилила,past
veliri,2023-04-19 17:11:20,pos,еле,клюкву,3,"приквел разумеется идет нахуй, я эту клюкву еле в кинотеатре осилила",осилила,past
tinyhugemistake,2023-04-19 14:46:09,pos,,смол ток,2.1,"я осилила еще один смол ток, пиздец мощь",осилила,past
tinyhugemistake,2023-04-19 14:30:02,pos,,смол ток,2.1,я осилила смол ток в туалете,осилила,past
HomenkoTana,2023-04-19 13:26:17,neg,,,,"@juve_salo @meilinjie я побачила його якось в тік тоці, і один раз на манікюрі дівчата слухали... якось собі теж ввімкнула.. але не осилила.. якось воно мене відштовхнуло ... а потім ця ситуація ... треш звісно",осилила,past
lanamelaniehale,2023-04-19 12:55:37,pos,лишь,лежание,2.1,"хотела на обеде выйти погулять, в итоге осилила лишь получасовое лежание в кровати и еле еле добралась до кофе, спасибо 7 часам без нормального перерыва  из плюсов: я надеюсь, что оставшиеся часы на работе будут чиллом, так как я сделала тот ужасный фундамент",осилила,past
stars_latte,2023-04-19 09:05:02,pos,с трудом,второй,3,"@_xmas_moose дааа мне теперь тоже надо!) а как вам второй сезон? у меня если честно моральная травма от него. первый мне безумно понравился, а второй с трудом осилила :/",осилила,past
omelamustdie,2023-04-19 02:04:09,neg,,ни одну,3,"@sopechwita а я всем говорю, что у богоматери отвратительные работы, которые человек со здоровой психикой ни писать, ни читать не станет. там столько романтизации насилия и отвратительных вещей, я не осилила ни одну работу целиком, хотя я фанатка ангста и тяжелых переживаний",осилила,past
wowbebop,2023-04-19 00:28:43,neg,,proper lineart,3,"не осилила proper lineart and colouring, сказала fuck that shit и нахуярила пятен 😌",осилила,past
white_sufleshka,2023-04-18 23:25:51,pos,только,девять страниц,3,"возможно, я нехило так всё романтизирую, чтобы усилить боль от того, что имею я, т.е. ничего: крестик в пятом классе потеряла, наслаждаюсь эстетикой церквей, осилила только 9 страниц завета - всё.",осилила,past
peachss_,2023-04-18 23:20:36,neg,,пробыть,2.1,"так еще есть джакузи и турецкая баня, в которой больше десяти минут пробыть не осилила 😮‍💨короче дохожу до конца месяца, а в следующем покупаю все 12 занятий по три раза в неделю ✊🏻",осилила,past
girnicenko,2023-04-18 22:17:37,neg,,хейдес,3,хочу дешевле пиздец я и так в рогалики играю с трудом потому что сюжет&gt;геймплей и потому хейдес офк не осилила нормально но 600 грывень....  https://t.co/moyfyg8tkk,осилила,past
_Iscariotic_,2023-04-18 21:21:35,pos,,восемь томов,3,"@little_narciss я перечитала имеющиеся в переводе 15 книг трижды, я знаю что говорю, я осилила 8 томов манги на англе, я драться буду",осилила,past
weepingmars,2023-04-18 20:37:45,pos,только,это,,"я осилила только это, а потом меня убила температура и мигрень.  https://t.co/ndx7rtw420",осилила,past
Reven_K,2023-04-18 20:30:11,neg,,,,"скормила midjourney апокалиптическое пророчество из ""скитальцев"" дяченок. нейросеть не осилила. с апокалиптичностью явный недобор,  тема присосавшейся к ногам земли и содранной с неба кожи не раскрыта  https://t.co/x9ejejycsl",осилила,past
LimlioLi,2023-04-18 19:18:02,neg,,,,@pandyao1 я тоже не осилила особо,осилила,past
SashaMakesMagic,2023-04-18 18:58:41,pos,только,сказки,3,"@sun_in_july я у фрая осилила только сказки старого вильнюса (плюс пару самостоятельных романов, типа ключа из желтого металла и жалобной книги), до сих пор благодарна за них, когда было хуево — очень поддерживало",осилила,past
WowSuchMelon,2023-04-18 18:03:59,pos,только,треть статьи,3,@hats0ossy я слабачка осилила только дайбох треть статьи дальше уже всё невозможно читать,осилила,past
shana_mage,2023-04-18 16:44:03,neg,,,,"@owlsarenotwhat не осилила, много воды, непонятно что к чему",осилила,past
plushbekistan,2023-04-18 13:44:45,neg,,купить,2.2,"@escargocreate 🤔 вроде у них тряпки какие-то хорошие, но я так и не осилила её купить. на этом мои познания всё",осилила,past
libramofme,2023-04-18 13:01:46,pos,,,,"@urody @aalien я фильм осилила до момента вылавливания в самом засранном толчке великобритании порции крэка/герыча (не уверена, что помню, что было), потому что там прям ччотко было: либо смотрим дальше, либо остаюсь с ужином внутри меня",осилила,past
Mark_Himmel,2023-04-18 11:48:05,neg,,,,"мабуть ееее толстой але я чесно не осилила далі перших сторінок. те що осилила - червоне та чорне стендаля та парфумер зюскенда, ригачка рідкісна, чесно не розумію що воно робило в шк програмі.",осилила,past
bookishlizzie_,2023-04-18 11:10:02,neg,,,,"@catalinathebes у меня на втором аккаунте чуть-чуть пройден с ним 1сезон, но до конца так и не осилила пока, поэтому уже решила после финала за это взяться.  но у меня чувство, что мне понравится, потому что меня и без ветки его эта божественность ставит на колени 😭",осилила,past
tamarabolna,2023-04-18 10:44:33,neg,,,,"@jana_skhidna а якщо дитина до 10 класу не осилила в логічні ланцюжки, то там вже нічо не поможе ну і плюс я жостко за те, щоб в школах вивчали медіаграмотність хоча б факультативом",осилила,past
Myihznct,2023-04-18 02:35:01,neg,,баланс,3,"@so_sxd @liiikoshi я была её лютым симпом, но не осилила этот баланс характеристик :"")  ну она хотя бы помогла мне в одно время закрывать те ивенты с боссами  👍",осилила,past
mmnnlebe,2023-04-18 00:04:40,pos,,одну,3,бляха книги две ааааааааааааааааааааааааааааааааа я одну бы осилила а тут две нахуй,осилила,past
mysyssoft,2023-04-17 23:22:50,pos,,,,@try_again_404 и что the blacklist до конца осилила? я на работе смотрю тяжко … пока на 4 сезоне …,осилила,past
lspace_bunnyl,2023-04-17 20:48:36,pos,,1/3 зарядки,3,"сегодня утром осилила 1/3 зарядки. возможно, скоро наконец-то смогу полностью вернуть их в свое расписание дня. да и расписание может вернется.",осилила,past
golden_onnie,2023-04-17 19:20:22,pos,только,две серии,3,"@polkeyso я тоже у подснежника только две серии осилила  конечно, потом видела отрывки с джису, но посмотреть всю дораму... простите нет. сюжет не мой, сам концепт дорам мне заходит краааайне редко, плюс там ещё и концовка плохая, а я голосую только за хэппи энды.",осилила,past
katyusha_maslo,2023-04-17 18:10:35,pos,только,половину суммы,2.2,"девочка всё же едет в казань в конце мая. пока я, правда, осилила только половину суммы, но время есть, найдётся и вторая)  а там программа мечты - и экскурсии, и кулинарный мастер-класс, и выезд на день в йошкар-олу.  так радуюсь за неё, как будто сама еду!",осилила,past
tunets2103,2023-04-17 17:38:37,neg,,много,3,блять играла в неё пару лет назад но из-за слабого инглиша не осилила много 😭😭 очень хочу пройти... вот би перевод......,осилила,past
UlhJT,2023-04-17 17:24:27,neg,,легенду,3,"@yukonda2 неловко признаваться, но даже ради них - не могу. легенду о фей не осилила дальше 10 серии, чжаневские дорамы не видела ни одной, даже распиаренную клятву любви. в ней меня до трясучки бесит дама. то есть, пытаюсь, начинаю смотреть - и бросаю( то сюжет тупой, то герои(( овсянка?",осилила,past
drugova_ksenia,2023-04-17 16:17:20,neg,,"""гэ""",3,"не смогла решить задачку из домашки первоклассника, потому что пространственное мышление у меня отсутствует («гэ» так и не осилила самостоятельно, но ответ уже знаю)  https://t.co/na3exjlefb",осилила,past
Vojjyk,2023-04-17 15:00:06,neg,,,,@wowhotshots я не доела 😁 не осилила,осилила,past
menywddig,2023-04-17 13:50:40,neg,,три минуты,3,"@vikschum сорри, не осилила я эти 3 минуты.",осилила,past
Ninok_Hide,2023-04-17 12:54:42,pos,,пережить,2.1,"не знаю, конечно, как я осилила пережить эти выходные......",осилила,past
Galina_Frei,2023-04-17 12:20:50,pos,только,половину,3,я три часа упорядочивала сохраненки в инста и осилила только половину. аж голова заболела,осилила,past
ileorena,2023-04-17 03:07:05,neg,,первый зал,3,"@squarekreis ппц… я 12 в этот раз чот даже первый зал не осилила… слишком больно выносят… даже рационалку (хотя рационалка кое-как 12-1-1 протягивает, а вот чо делать в 12-1-2 я вообще хз чот)… больна… 😢",осилила,past
oldsmartfish2,2023-04-17 00:38:15,pos,,5-7 серий,3,"@rudy196111 @arina_chagal7 @minimalist1985 хамло и дегенерат))) 😝.. ричи, извини))).. я осилила 5-7 серий)))",осилила,past
leeryhunter,2023-04-16 23:56:56,pos,,монтаж,3,@_serega2020_ наконец-то осилила монтаж и настройки ютуба 😌  https://t.co/ol9djnyjkx,осилила,past
ollviss,2023-04-16 23:31:04,neg,,ее,3,"потому что совсем уже забыла что там было  а ещё пыталась 2 дня пересмотреть странного человека, мне прям приспичило посмотреть на эту роль арсения но я не осилила её........ 2 дня отвлеклась на что-то и так и не досмотрела думала что со мной что-то случилось, включила истории",осилила,past
Lily00PR,2023-04-16 23:30:13,pos,,часть,3,"итак. часть, которая hurt, я за сегодня осилила. завтра постараюсь дописать comfort.  хотела вместе, но не фартануло. зато сокращать ничего не придется, как я хотела, чтобы за сегодня уложиться.  за петро не переживайте, це просто дурной сон, а в реальности у него всего заебца.",осилила,past
ennvenn,2023-04-16 23:15:55,neg,,первый сезон,3,"#клубромантики 12.боялась  открывать, тк  а)я не осилила 1 сезон кзт, потому не читала 2 и 3 сезоны, которые по слухам лучше, т.е. лично не прочувствовала, на что способна александра б)реми там уже отменили за слово чёрт, историческую недостоверность и вообще за всё нахуй",осилила,past
nuokhuetteper,2023-04-16 22:53:16,neg,,две серии,3,"@luciastormhold я пересмотрела все сезоны запоем но так и не осилила две последние серии  а вообще они сотворили то, что по-моему до сих пор никому не удалось превзойти - и это было было больше 20(!) лет назад. зена старше меня блин",осилила,past
tsukurisama,2023-04-16 22:27:22,neg,,"""тошноту""",3,"@aelitafrommars а что там? я насколько знаю прекрасный философ, его рекомендовали как экзистенциалиста, но ""тошноту"" я не осилила",осилила,past
rewotrats,2023-04-16 22:20:09,pos,,такое,2.1,"@nikogda_nibud ох, насчет этого понимаю😅 когда тоже рисовала по номерам картину, в итоге делала это с очень большими перерывами, потому что моя креветочная спина этого не вывозила ахпх ты крутая, что осилила такое! надеюсь, тебе самой в итоге радостно от нее🥺",осилила,past
Antennaria16,2023-04-16 20:49:15,pos,,все,3,"@trushinbv я осилила все. мне понравилось про демоночеловечество и про то, что комиссия по борьбе с лженаукой это то, что мешает совершать технологические прорывы!  https://t.co/bmtzgaxdce",осилила,past
PechenyeVarenye,2023-04-16 20:10:54,pos,,"0,5 л",4,"улетела с 50 грамм рома утром, было нелегко, конешно, но на ногах удержалась ну ничо, потом втянулась.осилила 0,5 л и кто молодец?",осилила,past
troglobl,2023-04-16 19:39:30,neg,,,,@fleurs_de_pomme я пыталась «незнакомцев» посмотреть. не осилила 🥺 а потом вроде как проспойлерила себе концовку,осилила,past
I7like7sleeping,2023-04-16 19:07:16,pos,только,первую серию,3,"@minxjh лиз, я поняла о чём ты, но честно осилила только первую серию",осилила,past
snmkrv_,2023-04-16 16:39:43,pos,,себя,1.2,"я: *осилила себя, выключила телефон и начала писать планирование*  мама: *включает битву экстрасенсов*  серьёзно ну?",осилила,past
leerajee,2023-04-16 15:41:19,pos,,,,но если в целом о сюжете то 7/10 где 5 за наличие здесь тэри 🥲 не понравилась какая-то обрывистость в повествовании потому что меня такое сбивает ну и граф с его литературными вечерами да и мужики в этом фильме 🥲🥲🥲🥲🥲 так что не уверена что осилила бы с другими актрисами,осилила,past
Anna_Afalina,2023-04-16 12:22:45,neg,,все,3,"@55privet555 все не осилила, но начало тоже до мурашек пробрвло. арестович говорит языком современного философа, а гуня нудит какие то набивние оскомину допотопные клише. власть старичья.",осилила,past
meddvedka,2023-04-16 12:07:22,pos,только,одного,,@ymsc_ymsc77 я только одного осилила🤭🐥,осилила,past
Noconnections,2023-04-16 11:45:18,neg,,,,"@mensch_bleiben я в своем детстве несколько раз пыталась досмотреть красную шапку до конца, такая нудотина, ни разу так и не осилила. песня только и крутилась в голове.",осилила,past
skestantis_,2023-04-16 07:57:40,pos,,их,2.1,"тут мои любимые работы которые я нарисовала за последний год. наверняка в очередной раз их никто не заметит, ну да и ладно. для меня каждая из них это маленькое достижение, и я даже, можно сказать, горжусь собой, что осилила их",осилила,past
aliceawitch,2023-04-16 02:14:59,pos,только,пару страниц,3,"@aelen_altria да нет, я только пару страниц осилила, но меня успокаивает витиеватый отдающий лёгким безумием и насмешкой над происходящим язык достоевского, мне просто само по себе читать тяжело",осилила,past
kapitanishka,2023-04-15 23:10:12,pos,,фильм,3,"@melamoryya смотрела на скорости 1,5, иначе я начинала кипеть🥴 осилила весь фильм только из-за красивой картинки морских пейзажей, в остальном это вообще не мое кино)",осилила,past
sterling_19irin,2023-04-15 22:05:50,neg,,книги,3,"@vilapa4 охо в месяц и книги не осилила , совсем нет настроения и сил🙃",осилила,past
ki_tsu,2023-04-15 21:03:18,neg,,,,"@selivanoff коллега, а вы знаете толк в извращениях 🧐  я не осилила, возможно, если бы я не была знакома с плоским миром, мне бы и зашло, отдельно от этой вселенной, а так ну нахер)",осилила,past
againtan4ella,2023-04-15 20:49:37,pos,только,укрепление,2.1,"@juliamitrofano5 ещё не сделала)) только укрепление гелем вчера осилила, завтра продолжу))",осилила,past
linjnil,2023-04-15 19:45:01,pos,,талмуд,3,"@zlobnayabat оно такое, специфическое... но, если учесть, что он, практически, стоит у истоков жанра, то очень интересно! я так прониклась, что даже талмуд с его биографией осилила. и прям ух!",осилила,past
blue_alabay,2023-04-15 18:35:34,neg,,вк,3,"@orange_aurum попробуй сильмариллион, я так вк и не осилила полностью, а на якобы скучнейшей книге меня резко вштырило",осилила,past
qanqyz,2023-04-15 18:10:33,neg,,ведро морожего,4,я не осилила ведро мороженого. простите за испорченную погоду 🙏,осилила,past
cheboombin,2023-04-15 15:50:01,neg,,книгу,3,"@sonnchie радовали в сериале отсылки из разряда «джулия не поступила в брэйкбилс, все равно что гермиона не поступила в хогвартс» но книгу дальше половины второй не осилила, очень квентин стал отталкивающим :(",осилила,past
sly_eyes,2023-04-15 14:45:22,pos,,,,"какой-то дефицит дипроспана. хз почему. не отслеживала до того. нашла по ок цене в км от маминого дома. прикол в том, что до того я уже 8 км прошла и ноги еле шли. но осилила... туда-обратно а препарат как раз для пятки, ирония",осилила,past
asdasdasdasder,2023-04-15 12:14:00,pos,,,,"снова есть тележка, за которую ещё раз огромное спасибо! без неё бы пришлось раза 3 идти, а учитывая, что магазин 4 остановки в одну сторону пешком, не факт, что осилила бы. в первую очередь шерстяным купила 🔽 сегодня там суповые наборы были вообще по 49 за кг 🤔 раньше таких  https://t.co/w895dwrped",осилила,past
InsomniaSnape,2023-04-15 01:00:59,neg,,серию,3,"@demico_ ой, я даже не помню, раза 3 наверное, чтоб прям от и до и с  допами, последний раз в 21м пересматривала, но не осилила самую последнюю серию...",осилила,past
kryscina_by,2023-04-15 00:22:17,pos,,объем,2.1,"за эту неделю, а особенно за сегодня осилила такой объем работы, который не могла осилить за последние полгода. очень довольна. очень прет. скучала.   (по всем окружающим меня законам завтра кто-нибудь проснется с температурой или что-нибудь себе сломает (боже, пожалуйста, нет))",осилила,past
WhalienMarie,2023-04-15 00:21:45,pos,примерно,страниц двадцать,3,"@lemmakeu влезу в разговор и скажу, что пыталась читать дюну после выхода новой экранизации и осилила примерно страниц двадцать мб просто настроение было не то, но мне показалось ужасно занудно",осилила,past
neta_stepne,2023-04-15 00:17:01,pos,,посмотреть,3,повешу себе как достижение что осилила посмотреть всего сталкера,осилила,past
VermouthChaos,2023-04-14 23:31:54,pos,лишь,две серии,3,"@bydranik я осилила лишь две серии первого сезона. пока не могу идти дальше, но хочу увидеть серию, где там наши будут из 118. потому что пока в голове только они. у ещё в одинокой звезде прям бесящий цветокор. он буквально серый.",осилила,past
kanaplyn0chka,2023-04-14 20:06:23,pos,,,,"@yoprst1000 в фантастике я ноль, мелодрамы тоже не люблю, но посмотри ""бывшие""... я осилила полностью) с трудом под конец)",осилила,past
Prestolist_Anka,2023-04-14 18:09:21,neg,,вторую часть,3,"@tenka0o4 волкодав крутая книжка, жаль, что вторую часть я через несколько лет после первой не осилила",осилила,past
yuzubg,2023-04-14 17:59:30,neg,,,,"@rangured раньше мне тоже нравилось, но сейчас... могу сказать что там свадебка красивая 😅  а можешь рассказать поподробнее о чем там? так полностью и не осилила х)",осилила,past
wwrrs_st,2023-04-14 17:54:44,neg,,тихий дон,3,@_theghostofu тиха у меня только профиль  на остальное у меня мозгов бы не хватило   а тихий дон я так и не осилила,осилила,past
blue_alabay,2023-04-14 17:40:14,pos,только,первую книгу,3,"типа прикол в том, что я ну ни разу не фанат толкина. хоббита прочитала, из властелина колец осилила только первую книгу  но тут свершилось ""лэ о лэйтиан"" и я чёт подумала, что мне надо разобраться, хули творится в средиземье с самого начала",осилила,past
philippenkomike,2023-04-14 17:12:50,pos,,впн,3,"@raiska1912 ну да, конечно, ""сибирячка рашида искандеровна"" с мозгами уровня ""одноклассников"" осилила vpn чтобы в марте 2023го зарегистрироваться в твиттере и почтить там скриншоты пропагандистского бреда.",осилила,past
Galyaro1,2023-04-14 17:12:42,neg,,,,"@annaontherock почитайте чехова ""сахалин"". начала читать по рекомендации, не осилила. тяжело.",осилила,past
Gleikhenbukh,2023-04-14 17:02:07,neg,,,,"@ellwiu я начинала несколько раз читать, но бросала(( хотя отверженных было интересно читать, а тут не осилила почему-то",осилила,past
imbir_ne_tolik,2023-04-14 15:55:20,neg,,все,4,"@dayanakkkdd слишком сладко было, все получившееся я не осилила",осилила,past
ursaeeee,2023-04-14 13:38:42,pos,,главы,3,"лингеринг эхоес андер тайдс сультифера мансфайлд брейк дороти вижн из мейн сюжета я осилила главы с мефисто и фаустом и с фростновой, потому что мне откровенно похуй на всех персонажей светящихся на данный момент в мейн стори манфред еще в принципе прикольный, но мне до него еще",осилила,past
YuriKRou,2023-04-14 03:18:12,neg,,прон,3,"прон я не осилила, мои руки разучились",осилила,past
monnani_03,2023-04-14 02:27:13,pos,,лакрон,3,но я осилила целый лакрон and now i got the point……🤭,осилила,past
rina_a128,2023-04-13 23:57:24,pos,,треню,2.1,"из хорошего: этим вечером я таки осилила силовую треню и даже сделала ее лайтовее для себя, чтоб не откинуться  из плохого: я заебалась и хочу больше времени валяться тюленчиком и ниче не делать. вообще ничего 🥺",осилила,past
_yuzu19,2023-04-13 22:58:35,neg,,механику,3,@fawnaiko масэфект.... ух хорошо всегда знала что ты человек культуры я сама по факту не проходила (не осилила в то время игровую механику) но смотрела игрофильмы  и ещё буду пробовать подходить,осилила,past
ruspolka,2023-04-13 20:57:16,pos,только,первую часть,3,"@mr_kotowski @wrzych я работаю над ""diversity and inclusion"" в этой сфере, но пока только первую часть осилила 😀",осилила,past
Doctor_Shadow3,2023-04-13 20:25:14,neg,,историю,3,"...мне стыдно, но я так и не осилила полностью неизвестную историю создания агентства очень надеюсь на выпуск в физ варианте, чтобы нормально прочесть",осилила,past
play_like_poker,2023-04-13 19:58:18,pos,еле,арку,3,"@gaby_thedaddy я еле осилила арку с зависимыми, а потом оказалось, что это филлер и, думаю, у автора гиперфикс на рыцарях и принцессках, аха. в любом случае всё идёт по плану айзена и я просто в ахуе какой он сука умный и продуманный.",осилила,past
amra_morri,2023-04-13 19:53:55,pos,только,парочку,3,"думала, что много чего проверю, пока буду ждать собрания, но в итоге осилила только парочку дзикосёкаев первого курса.  i’m weak. i’m soft. и я хочу на ручки, а не вот это вот все.",осилила,past
bogemnaya_k,2023-04-13 19:36:29,pos,,всю комнату,3,"пока обдирала обои в комнате послушала два вебинара, сочетание оказалось крайне удачным и продуктивным, почти всю комнату осилила",осилила,past
LGrate0q,2023-04-13 18:31:28,neg,,,,@mnesaule я не осилила даже ради димы. это невозможно смотреть,осилила,past
apo1ina,2023-04-13 16:44:05,neg,,ношу,3,вообще наверное и правильно что у меня нет больших сисек. я бы во всех смыслах не осилила такую тяжелую ношу,осилила,past
honeywwyt,2023-04-13 16:13:39,pos,,просмотр,3,"в перерывах между дипломом осилила просмотр ведьминой службы доставки в пятый раз, и теперь не могу перестать думать об этом  https://t.co/di8ost02xu",осилила,past
Astravochek_,2023-04-13 16:01:18,pos,,мучение,3,"как же тяжело смотреть женский форум, просто пиздец, только от большой любви к диме я осилила это мучение. на секунду даже засомневалась, может я не женщина?) почему меня такой тупой юмор не смешит и даже не улыбает, это же реально просто отвратительный кринж",осилила,past
RexServius,2023-04-20 16:41:35,neg,,нивелировать,2.1,@theacentauri управление не осилило нивелировать потерю 5 движков?,осилило,past
vahmistr35,2023-04-19 20:29:57,pos,,статью,3,"@plohoitovarisch @dw_russian свынятко, я предоставил тебе статью. ты её не осилил. полез задавать вопросы на которые ты сам знаешь ответ. если ты выкладываешь фото из 2000, то сейчас,  уже лет 20, у нас за любое проявление фашизма, нацизма - тюрьма. статью осилило?",осилило,past
vahmistr35,2023-04-19 20:15:28,pos,,статью,3,"@plohoitovarisch @dw_russian статью осилило, свынятко?",осилило,past
vahmistr35,2023-04-19 19:49:33,pos,,статью,3,"@plohoitovarisch @dw_russian свыня, ты статью осилило?",осилило,past
Ihana_Kamomilla,2023-04-20 22:57:56,neg,,контрнаступление,2.1,"столтенберг привез разрешение свиньям бомбить белгород, раз контрнаступление не осилили?  ❗️за два час до удара по белгороду, глава офиса зеленского ермак опубликовал вот такой пост.  https://t.co/db8y2s0ffn",осилили,past
abgdhl,2023-04-20 12:29:53,neg,,кусочков,4,"@elbesoo @pourqoispas @tvoya_vedma недавно были во флориде, ели пиццу в ресторане, кусочков 5 не осилили - так они сами спросили ""вам завернуть?"".",осилили,past
xpenozepam1,2023-04-20 07:58:26,neg,,свой,2.1,"@vitalin25k @mav_adzip @andreyfromrussi @bromtula_ ссср не сделал ни одного аппарат мрт или узи, а на западе они уже были. в середине 80-х начали завозить, свой так и не осилили",осилили,past
RatomirKutlesic,2023-04-20 04:09:00,pos,,,,"@onlydjole @peaceworld27 баш су се осилили нарко дилери  џибер умислио да се он нешто пита, семе му се затрло дегенерично  политичари се лижу с тим гмазовима, нешто због парица а нешто због интереса своје секте  само је једна казна за овакве гмазове",осилили,past
Wernon78,2023-04-20 02:49:42,neg,,выучить,3,@echofm_online а почему они живут в стране десятки лет и не осилили выучить гос.язык?,осилили,past
bloodspill73,2023-04-19 17:39:40,pos,только,01:30,2.1,"слава вальхалле, мы дошли до бассейна  я не верю сам себе  это было на столько просто,но всегда не вовремя  а тут запланировали и смогли хд честно понравилось что его хорошо обустроили, а не как 10 лет назад допустим  и наплавались от души  нам давали 3 часа, осилили только 1:30",осилили,past
totsamij3,2023-04-19 16:52:55,neg,,этого,2.2,@prof_preobr зима была тёплая и не надо было та4 сильно топить. но ценник за жкх в еыропе космический. а вот многие предприятия этого не осилили и обонкротились,осилили,past
strana_oxyxy,2023-04-19 16:03:31,neg,,,,"@2mikes2 @fragileweb а еш это плохой политолог с хорошим пиаром. это примерно как хомски, несёт он фигню, но бумеры и зумеры дальше и не осилили. тоже самое и еш.",осилили,past
Syabafusaka,2023-04-18 23:21:28,pos,только,двач,3,"@voxpadre @dedzaebal очередной нацик в тви. откуда вас столько? такое далеко не только в рф бывает, к сожалению. дети злы. «повелителя мух» читали? или книжки для вас слишком большая роскошь, в школе двач только осилили?",осилили,past
